codigo_programa;nome_programa;exclusao_logica_programa;indicador;exclusao_logica_indicador;unidade_de_medida;indice_de_referencia;em_apuracao_indice_de_referencia;data_de_apuracao;previsao_para_2021;em_apuracao_2021;previsao_para_2022;em_apuracao_2022;previsao_para_2023;em_apuracao_2023;previsao_para_2024;em_apuracao_2024;fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_status_em_apuracao_das_previsaoes_dos_indices;justificativa_status_em_apuracao_indice_de_referencia;data_alteracao;indicador_novo;polaridade
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO DO VOLUME DE RECURSOS EXTERNOS CAPTADOS EM RELAÇÃO AO EXERCÍCIO ANTERIOR;False;%;1,0;;2019-12-31;1,0;;1,05;;1,1;;1,15;;RELATÓRIOS DAS UNIDADES DA FAPEMIG RESPONSÁVEIS PELAS PARCERIAS.;Anual;Estadual;COMPARAÇÃO DO TOTAL DE RECURSOS EXTERNOS CAPTADOS NO ANO EM RELAÇÃO AO ANO ANTERIOR.;;;2020-10-01 15:57:00;False;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO NÚMERO DE TECNOLOGIAS COM PEDIDOS DE PROTEÇÃO DE PROPRIEDADE INTELECTUAL.;False;%;1,0;;2018-12-31;1,0;;1,01;;1,02;;1,03;;RELATÓRIOS DAS UNIDADES RESPONSÁVEIS PELO CONTROLE DE PATENTES;Anual;Estadual;NÚMERO DE TECNOLOGIAS (PATENTES, SOFTWARES, DESENHOS INDUSTRIAIS E CULTIVARES) COM PEDIDO DE PROTEÇÃO JUNTO A AUTORIDADE NACIONAL OU INTERNACIONAL DE PROPRIEDADE INTELECTUAL NO ANO EM RELAÇÃO AO ANO ANTERIOR.;;;2020-10-01 15:57:00;False;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO NÚMERO DE AÇÕES DE COMUNICAÇÃO REALIZADAS;True;%;1,0;;2017-12-31;1,0;;1,05;;1,1;;1,15;;RELATÓRIOS DO SISTEMA EVEREST E DAS UNIDADES RESPONSÁVEIS PELAS AÇÕES;Anual;Estadual;NÚMERO DE AÇÕES DE COMUNICAÇÃO REALIZADAS EM RELAÇÃO AO ANO ANTERIOR.;;;2020-10-01 15:57:00;False;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;ATENDIMENTO DOS PROJETOS APROVADOS;True;%;60,0;;2018-12-31;62,0;;67,0;;75,0;;80,0;;SISTEMA INTEGRADO DE ADMINISTRAÇÃO FINANCEIRA - SIAFI, BISNESS OBJECT - B.O., RELATÓRIOS DAS UNIDADES RESPONSÁVEIS PELAS PARCERIAS;Anual;Estadual;QUANTIDADE DE PROJETOS EMPENHADOS NO ANO EM RELAÇÃO AO NÚMERO DE PROJETOS APROVADOS NO ANO;;;2020-10-01 15:57:00;False;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO VOLUME DE RECURSOS APLICADOS EM INOVAÇÃO JUNTO ÀS EMPRESAS;False;%;1,0;;2019-12-31;1,1;;1,15;;1,2;;1,25;;PLANILHAS DE CONTROLES RETIRADAS DO ARMAZEM SIAFI. INFORMAÇÕES DAS ÁREAS RESPONSÁVEIS;Anual;Estadual;VOLUME DE RECURSOS APLICADOS EM INOVAÇÃO JUNTO ÀS EMPRESAS NO ANO EM COMPARAÇÃO COM O ANO ANTERIOR;;;2020-10-01 15:57:00;True;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO NÚMERO DE PUBLICAÇÕES DE ARTIGOS EM REVISTA INDEXADA;False;%;1,0;;2019-12-31;1,0;;1,03;;1,07;;1,1;;RELATÓRIO DE ATIVIDADES FAPEMIG;Anual;Estadual;NÚMERO DE PUBLICAÇÕES EM REVISTA INDEXADA NO ANO EM RELAÇÃO AO ANO ANTERIOR;;;2020-10-01 15:57:00;True;MAIOR
2;ASSISTÊNCIA À SAÚDE DOS SEGURADOS E DOS SEUS DEPENDENTES;False;TAXA DE GASTO PER CAPITA DE SAÚDE;False;R$;414,11;;2020-08-12;464,32;;501,52;;542,18;;586,4;;SRAT / IPSM;Bimestral;Regional;TOTAL DO PROCESSAMENTO DAS DESPESAS COM PRESTAÇÃO DE ASSISTÊNCIA A SAÚDE ($) / PÚBLICO ALVO TOTAL DE BENEFICIÁRIOS;;;2020-10-01 15:57:00;False;MAIOR
2;ASSISTÊNCIA À SAÚDE DOS SEGURADOS E DOS SEUS DEPENDENTES;False;REPRESENTATIVIDADE DA REDE ORGÂNICA NOS GASTOS COM A SAÚDE;False;%;6,36;;2018-12-31;12,86;;12,86;;12,86;;12,86;;IPSM;Bimestral;Estadual;TXREPR = VALOR TOTAL PROCESSADO PARA A REDE ORGÂNICA / VALOR TOTAL DO PROCESSAMENTO DAS DESPESAS COM PRESTAÇÃO DE ASSISTÊNCIA À SAÚDE X 100;;;2020-10-01 15:57:00;False;MAIOR
3;PRESTAÇÃO DE SERVIÇOS PREVIDENCIÁRIOS;False;TAXA DE COBERTURA PREVIDENCIÁRIA;False;%;7,1;;2018-12-31;2005,75;;2012,45;;2004,71;;2005,81;;IPSM;Bimestral;Estadual;TOTAL DO PROCESSAMENTO DAS DESPESAS COM PRESTAÇÃO DE ASSISTÊNCIA A SAÚDE (R$)  / PÚBLICO ALVO TOTAL DE BENEFICIÁRIOS;;;2020-10-01 15:57:00;False;MAIOR
9;DESENVOLVIMENTO DE AÇÕES DE EDUCAÇÃO E PESQUISA PARA O SISTEMA ÚNICO DE SAÚDE;False;ÍNDICE DE SATISFAÇÃO DOS ALUNOS;False;%;97,3;;2018-12-31;97,0;;97,0;;97,0;;97,0;;RELATÓRIO EMITIDO PELAS UNIDADES ADMINISTRATIVAS CONTENDO O COMPILADO DAS AVALIAÇÕES DE SATISFAÇÃO PREENCHIDAS PELOS ALUNOS;Anual;Estadual;(N° DE ALUNOS QUE AVALIARAM O CURSO COMO BOM E ÓTIMO / N° ALUNOS QUE RESPONDERAM A AVALIAÇÃO) X100;;;2020-10-01 15:57:00;False;MAIOR
9;DESENVOLVIMENTO DE AÇÕES DE EDUCAÇÃO E PESQUISA PARA O SISTEMA ÚNICO DE SAÚDE;False;PERCENTUAL DE ABRANGÊNCIA DAS AÇÕES DE ENSINO E PESQUISA DA ESP-MG;False;%;38,0;;2018-12-31;39,0;;40,0;;41,0;;42,0;;RELATÓRIO EMITIDO PELAS UNIDADES ADMINISTRATIVAS CONTENDO A REGIONALIZAÇÃO DAS AÇÕES DE ENSINO E PESQUISA;Anual;Estadual;FÓRMULA= Nº DE MUNICÍPIOS CONTEMPLADOS/Nº TOTAL DE MUNICÍOS DE MGF = &#8721, M / TLEGENDA: F= FÓRMULA &#8721,= SOMATÓRIA M= Nº DE MUNICÍPIOS CONTEMPLADOS EM AÇÕES EDUCACIONAIS E PESQUISAT = Nº TOTAL DE MUNICÍOS DE MG;;;2020-10-01 15:57:00;False;MAIOR
